customer_id,gender,past_3_years_bike_related_purchases,job_title,job_industry_category,wealth_segment,owns_car,tenure,customer_age,customer_birth_year,customer_year_month_name,customer_month_num,postcode,state,property_valuation,online_order,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,trans_month_name,trans_month_num,trans_week_num,AgeGroup
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,0.0,OHM Cycles,Standard,medium,medium,235.63,125.07,38482.0,December,12.0,51,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,1.0,Solex,Standard,medium,medium,1577.53,826.51,39526.0,April,4.0,14,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,1.0,Trek Bicycles,Road,low,small,1720.7,1531.42,37823.0,May,5.0,19,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,0.0,Norco Bicycles,Standard,medium,medium,360.4,270.3,37873.0,January,1.0,1,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,0.0,Solex,Standard,medium,medium,71.49,53.62,38573.0,February,2.0,8,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,0.0,Giant Bicycles,Road,medium,medium,1538.99,829.65,33552.0,May,5.0,20,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,0.0,Norco Bicycles,Mountain,low,small,688.63,612.88,33455.0,March,3.0,13,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,1.0,Giant Bicycles,Standard,medium,medium,230.91,173.18,37337.0,December,12.0,50,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,1.0,Giant Bicycles,Standard,medium,medium,642.7,211.37,40618.0,June,6.0,22,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,1.0,OHM Cycles,Road,medium,medium,742.54,667.4,37838.0,December,12.0,49,70-79
1,Female,93.0,Executive Secretary,Health,Mass Customer,Yes,11.0,70.0,1953.0,1953 October,10,2016.0,New South Wales,10.0,1.0,Giant Bicycles,Standard,high,medium,1274.93,764.96,35378.0,March,3.0,13,70-79
2,Male,81.0,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,42.0,1980.0,1980 December,12,2153.0,New South Wales,10.0,1.0,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40784.0,May,5.0,18,40-49
2,Male,81.0,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,42.0,1980.0,1980 December,12,2153.0,New South Wales,10.0,0.0,WeareA2B,Standard,medium,medium,752.64,205.36,38206.0,June,6.0,23,40-49
2,Male,81.0,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,42.0,1980.0,1980 December,12,2153.0,New South Wales,10.0,0.0,WeareA2B,Standard,medium,medium,1992.93,762.63,37337.0,August,8.0,34,40-49
9,Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,50.0,1973.0,1973 March,03,2023.0,New South Wales,12.0,0.0,Solex,Standard,medium,large,1061.56,733.58,42172.0,May,5.0,19,50-59
9,Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,50.0,1973.0,1973 March,03,2023.0,New South Wales,12.0,0.0,WeareA2B,Standard,medium,medium,752.64,205.36,36367.0,March,3.0,10,50-59
9,Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,50.0,1973.0,1973 March,03,2023.0,New South Wales,12.0,0.0,Solex,Standard,low,medium,945.04,507.58,40336.0,October,10.0,41,50-59
9,Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,50.0,1973.0,1973 March,03,2023.0,New South Wales,12.0,0.0,Giant Bicycles,Road,medium,medium,792.9,594.68,41922.0,February,2.0,5,50-59
9,Female,97.0,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,50.0,1973.0,1973 March,03,2023.0,New South Wales,12.0,0.0,OHM Cycles,Standard,high,medium,227.88,136.73,41701.0,August,8.0,33,50-59
